Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Cyornis rubeculoides,611494450,97.51,175.018,74.084,8.4,3.6,4.68,4.74,4.71,2.36,2.33,0.01
Cyornis rubeculoides,397149431,82.64,154.409,64.327,8.4,3.6,4.5,4.62,4.56,2.4,2.33,0.03
Cyornis rubeculoides,632448413,55.4,95.355,44.435,8.4,3.6,4.88,4.49,4.68,2.15,2.33,-0.08
Cyornis rubeculoides,144003001,80.5,133.54,54.113,8.4,3.6,5.06,5.36,5.21,2.47,2.33,0.06
Cyornis rubeculoides,599919031,102.79,193.352,80.411,8.4,3.6,4.47,4.6,4.53,2.4,2.33,0.03
Cyornis rubeculoides,328590021,83.01,155.724,60.904,8.4,3.6,4.48,4.91,4.69,2.56,2.33,0.1
Cyornis rubeculoides,366428811,95.76,152.161,64.031,8.4,3.6,5.29,5.38,5.33,2.38,2.33,0.02
Cyornis rubeculoides,377520121,53.7,85.657,45.305,8.4,3.6,5.27,4.27,4.77,1.89,2.33,-0.19
Cyornis rubeculoides,619610636,121.3,161.447,79.412,8.4,3.6,6.31,5.5,5.9,2.03,2.33,-0.13
Haliastur indus,492681451,50.01,73.106,73.667,24.4,17,16.69,11.54,14.12,0.99,1.44,-0.31
Haliastur indus,616358240,48.26,84.001,81.616,24.4,17,14.02,10.05,12.04,1.03,1.44,-0.28
Haliastur indus,621462285,41.11,73.24,61.679,24.4,17,13.7,11.33,12.51,1.19,1.44,-0.17
Haliastur indus,613714060,74.55,123.879,130.599,24.4,17,14.68,9.7,12.19,0.95,1.44,-0.34
Haliastur indus,542580051,66.98,97.837,88.41,24.4,17,16.7,12.88,14.79,1.11,1.44,-0.23
Haliastur indus,557446751,44.12,94.41,79.765,24.4,17,11.4,9.4,10.4,1.18,1.44,-0.18
Haliastur indus,249880281,40.72,62.119,66.218,24.4,17,15.99,10.45,13.22,0.94,1.44,-0.35
Haliastur indus,110831281,40.58,74.177,71.828,24.4,17,13.35,9.61,11.48,1.03,1.44,-0.28
Haliastur indus,225437711,52.37,75.822,79.699,24.4,17,16.85,11.17,14.01,0.95,1.44,-0.34
Haliastur indus,621372747,67,102.005,106.042,24.4,17,16.03,10.74,13.38,0.96,1.44,-0.33
Haliastur indus,622592022,73.42,135.989,134.618,24.4,17,13.17,9.27,11.22,1.01,1.44,-0.3
Haliastur indus,614984033,58.83,125,115.434,24.4,17,11.48,8.66,10.07,1.08,1.44,-0.25
