"","species_jetz","res.td","res.ad","td","ad","mass_final","hab.bin","for.bin","stratum","feed.PC1","feed.PC2","feed.PC3","feed.PC4","mig.bin","lat","range"
"Thryothorus_longirostris","Thryothorus longirostris",0.0404785107733443,0.153868821954218,8.35,7.3,20.8,1,0,20,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,13.11,4.97673374242057
"Thryothorus_nigricapillus","Thryothorus nigricapillus",0.110155114452896,0.175696536837188,9.35,7.8,25.1,1,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,6.43,4.00733318523247
"Thryothorus_rufalbus","Thryothorus rufalbus",0.120606749018643,0.190950155234664,9.25,7.75,22.9,1,0,0,-23.9793195294081,11.2325627491656,-6.59427045818252,-4.06760237773374,0,9.31,4.77068462446567
"Thryothorus_superciliaris","Thryothorus superciliaris",0.016219043515016,0.0564613386354917,7.4,6,13.7,1,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,4.32,2.77258872223978
"Tiaris_canorus","Tiaris canorus",-0.0928537645110872,-0.0113011491427544,5.7,4.8,7.1,0,0,0,77.2512371139566,-69.5459679956683,-11.665543514076,-2.85591053798584,0,21.48,2.77258872223978
"Tiaris_olivaceus","Tiaris olivaceus",-0.00810616209492832,0.0667355727393282,6.45,5.4,8.4,0,0,0,77.2512371139566,-69.5459679956683,-11.665543514076,-2.85591053798584,0,15.1,5.06890420222023
"Tichodroma_muraria","Tichodroma muraria",-0.014957316586655,0.0368470416335778,7.55,6.2,17.1,0,0,10,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,1,37.41,6.35610766069589
"Timalia_pileata","Timalia pileata",-0.123321752670458,-0.089976937062257,6.7,5.4,16.3,0,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,18.25,5.62040086571715
"Timeliopsis_fulvigula","Timeliopsis fulvigula",-0.0052682922396321,0.105959220004832,7.35,6.4,14.6,1,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,7.16,3.98898404656427
"Tinamotis_pentlandii","Tinamotis pentlandii",-0.214520640111072,-0.234082272021582,16.25,12.7,1117.1,0,0,0,77.2512371139566,-69.5459679956683,-11.665543514076,-2.85591053798584,0,18.37,4.30406509320417
"Tinamus_major","Tinamus major",-0.0164960024399363,-0.099826761593143,18.975,13.9,927.5,1,0,0,45.5064198663331,7.1929475842326,-11.6782483297469,7.31206000792937,0,1.19,6.4707995037826
"Tinamus_tao","Tinamus tao",-0.0797405852897817,-0.170230463077811,19.35,14.1,1327.1,1,0,0,61.998258332679,-6.70256003326723,-15.8615034272192,-3.5233880266896,0,7.73,5.92958914338989
"Tityra_cayana","Tityra cayana",0.267186940236469,0.368040020385899,14.15,12.3,76.4,1,1,50,46.7452795514013,56.1408479291339,-20.0574633403624,-4.19086551539336,1,7.95,6.94022246911964
"Tityra_inquisitor","Tityra inquisitor",0.304028056286636,0.356984948641821,12.95,10.7,44.4,1,1,100,46.7452795514013,56.1408479291339,-20.0574633403624,-4.19086551539336,0,6.07,6.95654544315157
"Tityra_semifasciata","Tityra semifasciata",0.272714856603266,0.318730835753122,15.05,12.4,97.4,1,0,50,43.4270925056475,49.3898208796701,-15.5421435658508,6.89924720094116,0,2.09,6.42486902390539
"Tockus_camurus","Tockus camurus",0.227870298107232,0.30391471955982,14.6,12.4,103.7,1,0,40,-39.0849397552968,-3.00317849695955,0.1649147966924,7.04305419487738,0,1.69,5.75890177387728
